*阿	ā
探測	tàncè
*探索	tànsuŏ
*探討	tàntǎo
*嘆	tàn
嘆息	tànxī
*碳	tàn
*湯	tāng
*唐	táng
塘	táng
*糖	táng
堂	táng
倘若	tǎngruò
*躺	tǎng
*趟	tàng
燙	tàng
掏	tāo
逃	táo
逃避	táobì
逃跑	táopǎo
逃走	táozŏu
桃	táo
陶	táo
陶冶	táoyě
淘汰	táotài
討	tǎo
*討論	tǎolùn
討厭	tǎoyàn
*套	tào
*特	tè
*特別	tèbié
特地	tèdì
*特點	tèdiǎn
*特定	tèdìng
特權	tèquán
*特色	tèsè
*特殊	tèshū
*特性	tèxìng
特意	tèyì
*特徵	tèzhēng
疼	téng
疼痛	téngtòng
藤	téng
踢	tī
*提	tí
*提倡	tíchàng
*提高	tígāo
*提供	tígōng
提煉	tíliàn
*提起	tíqǐ
提前	tíqián
提取	tíqŭ
提醒	tíxǐng
提議	tíyì
*題	tí
*題材	tícái
題目	tímù
*體	tǐ
體裁	tǐcái
體操	tǐcāo
*體會	tǐhuì
*體積	tǐjī
體力	tǐlì
體溫	tǐwēn
*體系	tǐxì
*體現	tǐxiàn
*體驗	tǐyàn
*體育	tǐyù
*體制	tǐzhì
體質	tǐzhì
體重	tǐzhòng
*替	tì
替代	tìdài
*天	tiān
天才	tiāncái
*天地	tiāndì
天鵝	tiān'é
*天空	tiānkōng
*天氣	tiānqì
*天然	tiānrán
天然氣	tiānránqì
天生	tiānshēng
*天體	tiāntǐ
天文	tiānwén
*天下	tiānxià
天真	tiānzhēn
天主教	Tiānzhŭjiào
添	tiān
*田	tián
田地	tiándì
田野	tiányě
*甜	tián
*填	tián
*挑	tiāo
挑選	tiāoxuǎn
*條	tiáo
*條件	tiáojiàn
條款	tiáokuǎn
*條例	tiáolì
*條約	tiáoyuē
*調	tiáo
調和	tiáohé
*調節	tiáojié
調解	tiáojiě
*調整	tiáozhěng
*挑	tiǎo
挑戰	tiǎozhàn
*跳	tiào
跳動	tiàodòng
跳舞	tiàowŭ
跳躍	tiàoyuè
*貼	tiē
*鐵	tiě
*鐵路	tiělù
*聽	tīng
聽話	tīnghuà
*聽見	tīng·jiàn
聽覺	tīngjué
聽取	tīngqŭ
聽衆	tīngzhòng
廳	tīng
*停	tíng
停頓	tíngdùn
停留	tíngliú
*停止	tíngzhǐ
*挺	tǐng
*通	tōng
*通常	tōngcháng
通道	tōngdào
通電	tōngdiàn
*通過	tōngguò
通紅	tōnghóng
通信	tōngxìn
*通訊	tōngxùn
通用	tōngyòng
*通知	tōngzhī
*同	tóng
同伴	tóngbàn
同胞	tóngbāo
同等	tóngděng
同行	tóngháng
同化	tónghuà
同類	tónglèi
同年	tóngnián
同期	tóngqī
*同情	tóngqíng
*同時	tóngshí
同事	tóngshì
同行	tóngxíng
*同學	tóngxué
*同樣	tóngyàng
*同意	tóngyì
*同志	tóngzhì
*銅	tóng
童話	tónghuà
童年	tóngnián
桶	tŏng
統	tŏng
*統計	tŏngjì
*統一	tŏngyī
*統治	tŏngzhì
筒	tŏng
*通	tòng
*痛	tòng
*痛苦	tòngkŭ
痛快	tòng·kuài
*偷	tōu
偷偷	tōutōu
投	tóu
投產	tóuchǎn
投機	tóujī
*投入	tóurù
投降	tóuxiáng
*投資	tóuzī
*頭	tóu
頭頂	tóudǐng
*頭髮	tóu·fa
*頭腦	tóunǎo
*透	tòu
透鏡	tòujìng
透露	tòulù
*透明	tòumíng
凸	tū
突	tū
突變	tūbiàn
*突出	tūchū
突擊	tūjī
*突破	tūpò
*突然	tūrán
徒	tú
*途徑	tújìng
塗	tú
屠殺	túshā
*圖	tú
圖案	tú'àn
圖畫	túhuà
圖書	túshū
*圖書館	túshūguǎn
圖形	túxíng
圖紙	túzhǐ
*土	tŭ
*土地	tŭdì
土匪	tŭfěi
*土壤	tŭrǎng
*吐	tŭ
*吐	tù
兔子	tù·zi
湍流	tuānliú
*團	tuán
*團結	tuánjié
*團體	tuántǐ
團員	tuányuán
*推	tuī
推測	tuīcè
*推動	tuīdòng
*推翻	tuīfān
*推廣	tuīguǎng
推薦	tuījiàn
推進	tuījìn
推理	tuīlǐ
推論	tuīlùn
推銷	tuīxiāo
*推行	tuīxíng
*腿	tuǐ
*退	tuì
退出	tuìchū
退化	tuìhuà
退休	tuìxiū
*托	tuō
*拖	tuō
*拖拉機	tuōlājī
*脫	tuō
*脫離	tuōlí
脫落	tuōluò
妥協	tuŏxié
*挖	wā
挖掘	wājué
娃娃	wá·wa
瓦	wǎ
歪	wāi
歪曲	wāiqū
*外	wài
外邊	wài·biān
外表	wàibiǎo
*外部	wàibù
外地	wàidì
*外國	wàiguó
外匯	wàihuì
外交	wàijiāo
*外界	wàijiè
外科	wàikē
外來	wàilái
外力	wàilì
外貿	wàimào
*外面	wài·miàn
外商	wàishāng
外形	wàixíng
外語	wàiyŭ
外在	wàizài
外資	wàizī
*彎	wān
彎曲	wānqū
*完	wán
完備	wánbèi
完畢	wánbì
*完成	wánchéng
完美	wánměi
*完全	wánquán
*完善	wánshàn
*完整	wánzhěng
*玩	wán
玩具	wánjù
玩笑	wánxiào
頑強	wánqiáng
挽	wǎn
*晚	wǎn
晚飯	wǎnfàn
晚期	wǎnqī
*晚上	wǎn·shang
*碗	wǎn
*萬	wàn
萬物	wànwù
萬一	wànyī
汪	wāng
亡	wáng
*王	wáng
王朝	wángcháo
王國	wángguó
*往	wǎng
往來	wǎnglái
*往往	wǎngwǎng
*網	wǎng
*忘	wàng
*忘記	wàngjì
旺	wàng
旺盛	wàngshèng
*望	wàng
望遠鏡	wàngyuǎnjìng
*危害	wēihài
*危機	wēijī
*危險	wēixiǎn
威力	wēilì
*威脅	wēixié
威信	wēixìn
*微	wēi
微觀	wēiguān
微粒	wēilì
微弱	wēiruò
微生物	wēishēngwù
*微微	wēiwēi
微小	wēixiǎo
*微笑	wēixiào
*爲	wéi
爲難	wéinán
爲人	wéirén
爲首	wéishŏu
*爲止	wéizhǐ
唯	wéi
惟	wéi
*維持	wéichí
*維護	wéihù
維生素	wéishēngsù
維新	wéixīn
維修	wéixiū
*圍	wéi
圍勦	wéijiǎo
*圍繞	wéirào
違背	wéibèi
違法	wéifǎ
*違反	wéifǎn
*尾	wěi
*尾巴	wěi·ba
委屈	wěi·qu
委託	wěituō
*委員	wěiyuán
*委員會	wěiyuánhuì
*偉大	wěidà
緯	wěi
緯度	wěidù
僞	wěi
*未	wèi
未必	wèibì
未曾	wèicéng
*未來	wèilái
*味	wèi
味道	wèi·dào
*位	wèi
*位置	wèizhì
*胃	wèi
*謂	wèi
*喂	wèi
*爲	wèi
爲何	wèihé
*爲了	wèi·le
衛	wèi
*衛生	wèishēng
*衛星	wèixīng
魏	Wèi
*溫	wēn
溫帶	wēndài
*溫度	wēndù
溫度計	wēndùjì
溫和	wēnhé
*溫暖	wēnnuǎn
溫柔	wēnróu
*文	wén
*文化	wénhuà
*文件	wénjiàn
*文明	wénmíng
文人	wénrén
文物	wénwù
*文獻	wénxiàn
*文學	wénxué
*文藝	wényì
*文章	wénzhāng
*文字	wénzì
紋	wén
蚊子	wén·zi
*聞	wén
吻	wěn
穩	wěn
*穩定	wěndìng
*問	wèn
問世	wènshì
*問題	wèntí
窩	wō
*我	wŏ
*我們	wŏ·men
臥	wò
臥室	wòshì
握	wò
握手	wòshŏu
*污染	wūrǎn
烏龜	wūguī
*屋	wū
*屋子	wū·zi
吾	wú
*吳	Wú
*無	wú
無比	wúbǐ
無從	wúcóng
*無法	wúfǎ
無非	wúfēi
無關	wúguān
無機	wújī
無可奈何	wúkěnàihé
無力	wúlì
*無論	wúlùn
無情	wúqíng
無窮	wúqióng
無聲	wúshēng
*無數	wúshù
*無限	wúxiàn
無線電	wúxiàndiàn
無效	wúxiào
無形	wúxíng
*無疑	wúyí
無意	wúyì
無知	wúzhī
*五	wŭ
武	wŭ
武力	wŭlì
*武器	wŭqì
*武裝	wŭzhuāng
侮辱	wŭrŭ
*舞	wŭ
*舞蹈	wŭdǎo
舞劇	wŭjù
*舞臺	wŭtái
勿	wù
*物	wù
物化	wùhuà
*物價	wùjià
*物理	wùlǐ
物力	wùlì
物品	wùpǐn
*物體	wùtǐ
*物質	wùzhì
物種	wùzhŏng
*物資	wùzī
務	wù
誤	wù
誤差	wùchā
誤會	wùhuì
誤解	wùjiě
*惡	wù
*霧	wù
*西	xī
*西北	xīběi
*西方	xīfāng
西瓜	xī·guā
*西南	xīnán
*西歐	XīŌu
*吸	xī
吸附	xīfù
吸取	xīqŭ
*吸收	xīshōu
*吸引	xīyǐn
*希望	xīwàng
*稀	xī
稀少	xīshǎo
息	xī
熄滅	xīmiè
鍚	xī
犧牲	xīshēng
席	xí
習	xí
*習慣	xíguàn
習俗	xísú
習性	xíxìng
*媳婦	xí·fù
襲擊	xíjī
*洗	xǐ
洗澡	xǐzǎo
*喜	xǐ
*喜愛	xǐ'ài
*喜歡	xǐ·huan
喜劇	xǐjù
喜悅	xǐyuè
*系	xì
系列	xìliè
*系統	xìtŏng
係數	xìshù
*細	xì
*細胞	xìbāo
細節	xìjié
*細菌	xìjūn
細小	xìxiǎo
細心	xìxīn
細緻	xìzhì
*戲	xì
*戲劇	xìjù
*戲曲	xìqŭ
瞎	xiā
蝦	xiā
狹	xiá
狹隘	xiá'ài
狹義	xiáyì
狹窄	xiázhǎi
*下	xià
下班	xiàbān
下邊	xià·biān
下層	xiàcéng
下達	xiàdá
下級	xiàjí
*下降	xiàjiàng
*下來	xià·lái
*下列	xiàliè
下令	xiàlìng
下落	xiàluò
*下面	xià·miàn
*下去	xia·qù
下屬	xiàshŭ
*下午	xiàwŭ
下旬	xiàxún
下游	xiàyóu
*夏	xià
*夏季	xiàjì
*夏天	xiàtiān
*嚇	xià
*先	xiān
*先後	xiānhòu
*先進	xiānjìn
先前	xiānqián
*先生	xiān·sheng
先天	xiāntiān
仙	xiān
掀起	xiānqǐ
鮮	xiān
鮮花	xiānhuā
*鮮明	xiānmíng
鮮血	xiānxuè
鮮艷	xiānyàn
*纖維	xiānwéi
*弦	xián
閒	xián
嫌	xián
銜	xián
鹹	xián
險	xiǎn
鮮	xiǎn
顯	xiǎn
*顯得	xiǎn·dé
顯露	xiǎnlù
*顯然	xiǎnrán
*顯示	xiǎnshì
顯微鏡	xiǎnwēijìng
顯現	xiǎnxiàn
*顯著	xiǎnzhù
限	xiàn
*限度	xiàndù
限於	xiànyú
*限制	xiànzhì
陷	xiàn
*陷入	xiànrù
陷於	xiànyú
*現	xiàn
現場	xiànchǎng
現存	xiàncún
*現代	xiàndài
*現代化	xiàndàihuà
現今	xiànjīn
現金	xiànjīn
*現實	xiànshí
*現象	xiànxiàng
現行	xiànxíng
*現在	xiànzài
現狀	xiànzhuàng
腺	xiàn
*線	xiàn
線路	xiànlù
*線圈	xiànquān
線索	xiànsuŏ
線條	xiàntiáo
羨慕	xiànmù
*憲法	xiànfǎ
*縣	xiàn
縣城	xiànchéng
獻	xiàn
獻身	xiànshēn
*相	xiāng
*相當	xiāngdāng
*相等	xiāngděng
*相對	xiāngduì
*相反	xiāngfǎn
*相關	xiāngguān
*相互	xiānghù
相繼	xiāngjì
相交	xiāngjiāo
相近	xiāngjìn
相連	xiānglián
*相似	xiāngsì
相通	xiāngtōng
*相同	xiāngtóng
*相信	xiāngxìn
*相應	xiāngyìng
箱	xiāng
箱子	xiāng·zi
*香	xiāng
香菸	xiāngyān
*鄉	xiāng
*鄉村	xiāngcūn
鄉下	xiāng·xia
降	xiáng
*詳細	xiángxì
享	xiǎng
*享受	xiǎngshòu
*享有	xiǎngyŏu
*想	xiǎng
*想法	xiǎng·fǎ
想像	xiǎngxiàng
想像力	xiǎngxiànglì
*響	xiǎng
響聲	xiǎngshēng
響應	xiǎngyìng
*向	xiàng
向來	xiànglái
*向上	xiàngshàng
嚮往	xiàngwǎng
*相	xiàng
*象	xiàng
*象徵	xiàngzhēng
*像	xiàng
橡膠	xiàngjiāo
橡皮	xiàngpí
*項	xiàng
*項目	xiàngmù
削	xiāo
消	xiāo
*消除	xiāochú
消毒	xiāodú
*消費	xiāofèi
消費品	xiāofèipǐn
*消耗	xiāohào
*消化	xiāohuà
*消極	xiāojí
*消滅	xiāomiè
*消失	xiāoshī
*消息	xiāo·xi
銷	xiāo
*銷售	xiāoshòu
*小	xiǎo
小兒	xiǎo'ér
*小夥子	xiǎohuŏ·zi
*小姐	xiǎo·jiĕ
*小麥	xiǎomài
小朋友	xiǎopéng·you
*小時	xiǎoshí
*小說兒	xiǎoshuōr
小心	xiǎo·xīn
小型	xiǎoxíng
*小學	xiǎoxué
小學生	xiǎoxuéshēng
小子	xiǎo·zi
*小組	xiǎozŭ
*曉得	xiǎo·dé
效	xiào
*效果	xiàoguŏ
效力	xiàolì
*效率	xiàolǜ
*效益	xiàoyì
*效應	xiàoyìng
*校	xiào
*校長	xiàozhǎng
*笑	xiào
笑話	xiào·hua
笑話兒	xiào·huar
笑容	xiàoróng
*些	xiē
歇	xiē
邪	xié
協定	xiédìng
協會	xiéhuì
協商	xiéshāng
*協調	xiétiáo
協同	xiétóng
協議	xiéyì
協助	xiézhù
*協作	xiézuò
*斜	xié
*鞋	xié
攜帶	xiédài
*血	xiě
*寫	xiě
*寫作	xiězuò
泄	xiè
謝	xiè
*謝謝	xiè·xie
*解	xiè
蟹	xiè
*心	xīn
心底	xīndǐ
*心理	xīnlǐ
*心裏	xīn·lǐ
*心靈	xīnlíng
*心情	xīnqíng
心事	xīnshì
心思	xīn·si
心頭	xīntóu
心血	xīnxuè
*心臟	xīnzàng
辛苦	xīnkŭ
辛勤	xīnqín
*新	xīn
新陳代謝	xīnchéndàixiè
新娘	xīnniáng
新奇	xīnqí
新人	xīnrén
新式	xīnshì
*新聞	xīnwén
*新鮮	xīn·xiān
*新興	xīnxīng
新型	xīnxíng
新穎	xīnyǐng
鋅	xīn
*欣賞	xīnshǎng
*信	xìn
信貸	xìndài
*信號	xìnhào
信念	xìnniàn
信任	xìnrèn
信徒	xìntú
*信息	xìnxī
*信心	xìnxīn
*信仰	xìnyǎng
信用	xìnyòng
*星	xīng
星際	xīngjì
*星期	xīngqī
星球	xīngqiú
星星	xīng·xing
興	xīng
*興奮	xīngfèn
興建	xīngjiàn
興起	xīngqǐ
刑	xíng
刑罰	xíngfá
刑法	xíngfǎ
刑事	xíngshì
*型	xíng
*形	xíng
*形成	xíngchéng
形容	xíngróng
*形式	xíngshì
*形勢	xíngshì
*形態	xíngtài
形體	xíngtǐ
*形象	xíngxiàng
*形狀	xíngzhuàng
*行	xíng
*行動	xíngdòng
行軍	xíngjūn
行李	xíng·li
行人	xíngrén
*行使	xíngshǐ
行駛	xíngshǐ
*行爲	xíngwéi
*行星	xíngxīng
*行政	xíngzhèng
行走	xíngzŏu
*省	xǐng
*醒	xǐng
*姓	xìng
姓名	xìngmíng
*性	xìng
性別	xìngbié
*性格	xìnggé
*性能	xìngnéng
性情	xìngqíng
*性質	xìngzhì
性狀	xìngzhuàng
*幸福	xìngfú
興	xìng
*興趣	xìngqù
凶	xiōng
兄	xiōng
*兄弟	xiōngdì
*兄弟	xiōng·di
*胸	xiōng
胸脯	xiōngpú
*雄	xióng
雄偉	xióngwěi
熊	xióng
*休息	xiū·xi
*修	xiū
修辭	xiūcí
修復	xiūfù
*修改	xiūgǎi
修建	xiūjiàn
修理	xiūlǐ
*修養	xiūyǎng
修正	xiūzhèng
宿	xiŭ
袖	xiù
臭	xiù
嗅	xiù
宿	xiù
繡	xiù
*虛	xū
*須	xū
*需	xū
*需求	xūqiú
*需要	xūyào
*徐	xú
許	xŭ
*許多	xŭduō
許可	xŭkě
序	xù
*畜	xù
*敘述	xùshù
*宣佈	xuānbù
*宣傳	xuānchuán
宣告	xuāngào
宣言	xuānyán
宣揚	xuānyáng
旋	xuán
旋律	xuánlǜ
*旋轉	xuánzhuǎn
懸	xuán
懸掛	xuánguà
*選	xuǎn
選拔	xuǎnbá
*選舉	xuǎnjŭ
選手	xuǎnshŏu
選用	xuǎnyòng
*選擇	xuǎnzé
旋	xuàn
削	xuē
削弱	xuēruò
穴	xué
*學	xué
*學會	xuéhuì
*學科	xuékē
學派	xuépài
*學生	xué·sheng
*學術	xuéshù
*學說	xuéshuō
學堂	xuétáng
學徒	xuétú
學問	xué·wen
*學習	xuéxí
*學校	xuéxiào
學員	xuéyuán
學院	xuéyuàn
*學者	xuézhě
*雪	xuě
雪白	xuěbái
雪花	xuěhuā
*血	xuè
*血管	xuèguǎn
*血液	xuèyè
尋	xún
尋求	xúnqiú
*尋找	xúnzhǎo
詢問	xúnwèn
*循環	xúnhuán
*迅速	xùnsù
訓	xùn
*訓練	xùnliàn
押	yā
鴉片	yāpiàn
鴨	yā
*壓	yā
*壓力	yālì
*壓迫	yāpò
壓縮	yāsuō
壓抑	yāyì
壓制	yāzhì
*牙	yá
牙齒	yáchǐ
*芽	yá
亞	yà
咽	yān
*煙	yān
煙囪	yān·cōng
*菸	yān
*延長	yáncháng
延伸	yánshēn
延續	yánxù
*言	yán
言論	yánlùn
*言語	yányŭ
岩	yán
*岩石	yánshí
*沿	yán
沿岸	yán'àn
*沿海	yánhǎi
炎	yán
*研究	yánjiū
研究生	yánjiūshēng
*研製	yánzhì
*顏色	yánsè
嚴	yán
*嚴格	yángé
嚴寒	yánhán
嚴峻	yánjùn
嚴厲	yánlì
嚴密	yánmì
*嚴肅	yánsù
*嚴重	yánzhòng
*鹽	yán
鹽酸	yánsuān
掩蓋	yǎngài
掩護	yǎnhù
*眼	yǎn
*眼光	yǎnguāng
*眼睛	yǎn·jing
眼鏡	yǎnjìng
眼看	yǎnkàn
*眼淚	yǎnlèi
*眼前	yǎnqián
眼神	yǎnshén
*演	yǎn
演變	yǎnbiàn
演唱	yǎnchàng
*演出	yǎnchū
演化	yǎnhuà
演講	yǎnjiǎng
演說	yǎnshuō
演繹	yǎnyì
*演員	yǎnyuán
*演奏	yǎnzòu
咽	yàn
宴會	yànhuì
厭	yàn
厭惡	yànwù
驗	yàn
驗證	yànzhèng
秧	yāng
*羊	yáng
羊毛	yángmáo
洋	yáng
揚	yáng
*陽	yáng
*陽光	yángguāng
*楊	yáng
仰	yǎng
*氧	yǎng
*氧化	yǎnghuà
*氧氣	yǎngqì
*養	yǎng
養分	yǎngfèn
養料	yǎngliào
養殖	yǎngzhí
*樣	yàng
樣本	yàngběn
樣式	yàngshì
*樣子	yàng·zi
*要	yāo
*要求	yāoqiú
*腰	yāo
*約	yāo
邀請	yāoqǐng
*搖	yáo
搖晃	yáo·huàng
搖頭	yáotóu
遙遠	yáoyuǎn
*咬	yǎo
*要	yào
要緊	yàojǐn
*要素	yàosù
*藥	yào
藥品	yàopǐn
*藥物	yàowù
鑰匙	yào·shi
耶穌	Yēsū
*爺爺	yé·ye
*也	yě
*也許	yěxŭ
冶金	yějīn
野	yě
野蠻	yěmán
野生	yěshēng
野獸	yěshòu
野外	yěwài
*夜	yè
夜間	yèjiān
*夜裏	yè·lǐ
*夜晚	yèwǎn
*液	yè
*液體	yètǐ
*頁	yè
*葉	yè
葉片	yèpiàn
*葉子	yè·zi
*業	yè
*業務	yèwù
業餘	yèyú
*一	yī
*一般	yībān
*一半	yībàn
一輩子	yībèi·zi
*一邊	yībiān
*一帶	yīdài
*一旦	yīdàn
*一定	yīdìng
一度	yīdù
一端	yīduān
一共	yīgòng
一貫	yīguàn
*一會兒	yīhuìr
一塊兒	yīkuàir
一連	yīlián
*一律	yīlǜ
*一面	yīmiàn
一旁	yīpáng
一齊	yīqí
*一起	yīqǐ
*一切	yīqiè
*一時	yīshí
一體	yītǐ
一同	yītóng
一線	yīxiàn
一向	yīxiàng
一心	yīxīn
一再	yīzài
一早	yīzǎo
*一直	yīzhí
*一致	yīzhì
*衣	yī
*衣服	yī·fu
衣裳	yī·shang
*依	yī
依次	yīcì
依法	yīfǎ
依附	yīfù
依舊	yījiù
*依據	yījù
*依靠	yīkào
*依賴	yīlài
*依然	yīrán
依照	yīzhào
醫	yī
醫療	yīliáo
*醫生	yīshēng
*醫學	yīxué
醫藥	yīyào
*醫院	yīyuàn
宜	yí
*移	yí
*移動	yídòng
移民	yímín
移植	yízhí
疑	yí
疑惑	yíhuò
疑問	yíwèn
儀	yí
*儀器	yíqì
*儀式	yíshì
遺	yí
遺產	yíchǎn
*遺傳	yíchuán
遺憾	yíhàn
遺留	yíliú
遺址	yízhǐ
遺囑	yízhŭ
*乙	yǐ
*已	yǐ
*已經	yǐ·jīng
*以	yǐ
*以便	yǐbiàn
*以後	yǐhòu
*以及	yǐjí
*以來	yǐlái
以免	yǐmiǎn
以內	yǐnèi
*以前	yǐqián
*以外	yǐwài
*以往	yǐwǎng
*以爲	yǐwéi
*以下	yǐxià
*以至	yǐzhì
*以致	yǐzhì
*矣	yǐ
倚	yǐ
椅子	yǐ·zi
蟻	yǐ
*亦	yì
*抑制	yìzhì
役	yì
*易	yì
易於	yìyú
益	yì
*異	yì
*異常	yìcháng
*意	yì
*意見	yì·jiàn
意境	yìjìng
*意識	yì·shí
*意思	yì·si
意圖	yìtú
*意外	yìwài
*意味	yìwèi
意象	yìxiàng
*意義	yìyì
*意志	yìzhì
*億	yì
*義	yì
*義務	yìwù
議	yì
*議會	yìhuì
*議論	yìlùn
議員	yìyuán
毅然	yìrán
翼	yì
藝	yì
*藝術	yìshù
*藝術家	yìshùjiā
譯	yì
*因	yīn
*因此	yīncǐ
因地制宜	yīndìzhìyí
*因而	yīn'ér
因果	yīnguŏ
*因素	yīnsù
*因爲	yīn·wèi
*音	yīn
音調	yīndiào
音階	yīnjiē
音節	yīnjié
音響	yīnxiǎng
*音樂	yīnyuè
*陰	yīn
陰謀	yīnmóu
陰陽	yīnyáng
陰影	yīnyǐng
*銀	yín
*銀行	yínháng
*引	yǐn
*引導	yǐndǎo
*引進	yǐnjìn
引力	yǐnlì
*引起	yǐnqǐ
引用	yǐnyòng
飲	yǐn
飲食	yǐnshí
隱	yǐn
隱蔽	yǐnbì
隱藏	yǐncáng
*印	yìn
印刷	yìnshuā
*印象	yìnxiàng
飲	yìn
*英	yīng
*英雄	yīngxióng
英勇	yīngyŏng
*嬰兒	yīng'ér
*應	yīng
*應當	yīngdāng
*應該	yīnggāi
鷹	yīng
迎	yíng
迎接	yíngjiē
盈利	yínglì
熒光屏	yíngguāngpíng
*營	yíng
*營養	yíngyǎng
營業	yíngyè
贏得	yíngdé
影	yǐng
影片	yǐngpiàn
*影響	yǐngxiǎng
*影子	yǐng·zi
映	yìng
*硬	yìng
*應	yìng
應付	yìng·fù
*應用	yìngyòng
擁	yōng
擁護	yōnghù
擁擠	yōngjǐ
*擁有	yōngyŏu
永	yŏng
永恆	yŏnghéng
永久	yŏngjiŭ
*永遠	yŏngyuǎn
*勇敢	yŏnggǎn
勇氣	yŏngqì
勇於	yŏngyú
涌	yŏng
涌現	yŏngxiàn
*用	yòng
用處	yòng·chù
用戶	yònghù
用力	yònglì
用品	yòngpǐn
用途	yòngtú
幽默	yōumò
悠久	yōujiŭ
憂鬱	yōuyù
優	yōu
*優點	yōudiǎn
優惠	yōuhuì
*優良	yōuliáng
*優美	yōuměi
*優勢	yōushì
優先	yōuxiān
*優秀	yōuxiù
優越	yōuyuè
優質	yōuzhì
尤	yóu
*尤其	yóuqí
尤爲	yóuwéi
*由	yóu
*由於	yóuyú
*油	yóu
油畫	yóuhuà
油田	yóutián
鈾	yóu
郵票	yóupiào
猶	yóu
猶如	yóurú
猶豫	yóuyù
*游	yóu
游泳	yóuyŏng
遊戲	yóuxì
遊行	yóuxíng
友	yŏu
友好	yŏuhǎo
友人	yŏurén
*友誼	yŏuyì
*有	yŏu
*有關	yŏuguān
*有機	yŏujī
*有力	yŏulì
*有利	yŏulì
有名	yŏumíng
*有趣	yŏuqù
有如	yŏurú
*有時	yŏushí
*有限	yŏuxiàn
*有效	yŏuxiào
有益	yŏuyì
有意	yŏuyì
*又	yòu
*右	yòu
右邊	yòu·biān
*右手	yòushŏu
*幼	yòu
幼兒	yòu'ér
幼苗	yòumiáo
幼年	yòunián
誘導	yòudǎo
予	yú
*於	yú
*於是	yúshì
娛樂	yúlè
*魚	yú
漁	yú
漁業	yúyè
*愉快	yúkuài
*餘	yú
餘地	yúdì
輿論	yúlùn
予	yŭ
*予以	yŭyǐ
羽	yŭ
羽毛	yŭmáo
*宇宙	yŭzhòu
*雨	yŭ
雨水	yŭshuǐ
*與	yŭ
與其	yŭqí
*語	yŭ
*語法	yŭfǎ
語句	yŭjù
語氣	yŭqì
語文	yŭwén
*語言	yŭyán
*語音	yŭyīn
玉	yù
*玉米	yùmǐ
*育	yù
*預報	yùbào
*預備	yùbèi
*預測	yùcè
預定	yùdìng
*預防	yùfáng
預計	yùjì
預料	yùliào
預期	yùqī
預算	yùsuàn
預先	yùxiān
預言	yùyán
域	yù
*欲	yù
慾望	yùwàng
遇	yù
遇見	yù·jiàn
*愈	yù
*元	yuán
*元素	yuánsù
*原	yuán
原材料	yuáncáiliào
*原來	yuánlái
*原理	yuánlǐ
原諒	yuánliàng
*原料	yuánliào
*原始	yuánshǐ
原先	yuánxiān
*原因	yuányīn
*原則	yuánzé
*原子	yuánzǐ
*源	yuán
*員	yuán
*圓	yuán
袁	Yuán
園	yuán
援助	yuánzhù
緣	yuán
*緣故	yuángù
*遠	yuǎn
遠方	yuǎnfāng
怨	yuàn
*院	yuàn
*院子	yuàn·zi
*願	yuàn
*願望	yuànwàng
*願意	yuànyì
*曰	yuē
*約	yuē
*約束	yuēshù
*月	yuè
月初	yuèchū
*月份	yuèfèn
月光	yuèguāng
*月亮	yuè·liang
*月球	yuèqiú
粵	yuè
*越	yuè
越過	yuèguò
*樂	yuè
樂隊	yuèduì
樂器	yuèqì
*樂曲	yuèqŭ
*閱讀	yuèdú
躍	yuè
勻	yún
*雲	yún
*允許	yŭnxŭ
*運	yùn
*運動	yùndòng
*運動員	yùndòngyuán
*運輸	yùnshū
運算	yùnsuàn
*運行	yùnxíng
*運用	yùnyòng
運轉	yùnzhuǎn
蘊藏	yùncáng
韻	yùn
紮	zā
砸	zá
雜	zá
雜誌	zázhì
雜質	zázhì
災難	zāinàn
栽	zāi
栽培	zāipéi
*再	zài
再見	zàijiàn
再現	zàixiàn
*在	zài
在場	zàichǎng
在家	zàijiā
*在於	zàiyú
*載	zài
*咱	zán
*咱們	zán·men
暫	zàn
*暫時	zànshí
贊成	zànchéng
讚美	zànměi
讚嘆	zàntàn
讚揚	zànyáng
髒	zāng
葬	zàng
*藏	zàng
臟	zàng
*遭	zāo
*遭受	zāoshòu
遭遇	zāoyù
糟	zāo
*早	zǎo
*早晨	zǎo·chén
*早期	zǎoqī
早日	zǎorì
早上	zǎo·shang
*早已	zǎoyǐ
藻	zǎo
竈	zào
*造	zào
造就	zàojiù
造型	zàoxíng
*則	zé
責	zé
*責任	zérèn
責任感	zérèngǎn
賊	zéi
怎	zěn
*怎麼	zěn·me
*怎麼樣	zěn·meyàng
*怎樣	zěnyàng
*曾	zēng
*增	zēng
*增產	zēngchǎn
*增多	zēngduō
增高	zēnggāo
*增加	zēngjiā
增進	zēngjìn
*增強	zēngqiáng
增添	zēngtiān
*增長	zēngzhǎng
紮	zhā
炸	zhá
眨	zhǎ
炸	zhà
炸彈	zhàdàn
摘	zhāi
窄	zhǎi
債	zhài
債務	zhàiwù
寨	zhài
*占	zhān
沾	zhān
粘	zhān
展	zhǎn
*展開	zhǎnkāi
展覽	zhǎnlǎn
展示	zhǎnshì
展現	zhǎnxiàn
盞	zhǎn
嶄新	zhǎnxīn
*佔	zhàn
佔據	zhànjù
*佔領	zhànlǐng
佔用	zhànyòng
*佔有	zhànyŏu
*站	zhàn
*戰	zhàn
*戰場	zhànchǎng
